	highly_variable
ENSG00000011332	False
ENSG00000011347	False
ENSG00000011376	False
ENSG00000011405	False
ENSG00000011422	True
ENSG00000011426	True
ENSG00000011451	False
ENSG00000011454	True
ENSG00000011465	False
ENSG00000011478	False
ENSG00000011485	False
ENSG00000011523	False
ENSG00000011566	False
ENSG00000011590	False
ENSG00000011600	False
ENSG00000011638	True
ENSG00000011677	True
ENSG00000012048	False
ENSG00000012061	False
ENSG00000012124	False
ENSG00000012171	True
ENSG00000012174	False
ENSG00000012211	False
ENSG00000012223	False
ENSG00000012232	False
ENSG00000012504	True
ENSG00000012660	True
ENSG00000012779	True
ENSG00000012817	True
ENSG00000012822	True
ENSG00000012963	False
ENSG00000012983	False
ENSG00000013016	False
ENSG00000013275	False
ENSG00000013288	False
ENSG00000013293	False
ENSG00000013297	False
ENSG00000013306	False
ENSG00000013364	True
ENSG00000013374	False
ENSG00000013375	False
ENSG00000013392	False
ENSG00000013441	False
ENSG00000013503	False
ENSG00000013523	False
ENSG00000013561	False
ENSG00000013563	False
ENSG00000013573	False
ENSG00000013583	False
ENSG00000013588	True
ENSG00000013619	False
ENSG00000013725	False
ENSG00000013810	False
ENSG00000014123	False
ENSG00000014138	False
ENSG00000014164	False
ENSG00000014216	True
ENSG00000014257	False
ENSG00000014641	False
ENSG00000014824	False
ENSG00000014914	True
ENSG00000014919	False
ENSG00000015133	True
ENSG00000015153	False
ENSG00000015171	False
ENSG00000015285	False
ENSG00000015413	False
ENSG00000015475	True
ENSG00000015520	False
ENSG00000015532	False
ENSG00000015568	False
ENSG00000015592	False
ENSG00000015676	False
ENSG00000016082	False
ENSG00000016391	False
ENSG00000016402	True
ENSG00000016490	False
ENSG00000016602	True
ENSG00000016864	False
ENSG00000017260	False
ENSG00000017427	False
ENSG00000017483	False
ENSG00000017797	False
ENSG00000018189	False
ENSG00000018236	True
ENSG00000018280	False
ENSG00000018408	True
ENSG00000018510	True
ENSG00000018610	False
ENSG00000018625	False
ENSG00000018699	False
ENSG00000018869	False
ENSG00000019102	False
ENSG00000019144	True
ENSG00000019169	False
ENSG00000019186	True
ENSG00000019485	False
ENSG00000019505	True
ENSG00000019549	True
ENSG00000019582	True
ENSG00000019991	False
ENSG00000019995	False
ENSG00000020129	False
ENSG00000020181	False
ENSG00000020256	False
ENSG00000020426	False
ENSG00000020577	True
ENSG00000020633	True
ENSG00000020922	False
ENSG00000021300	True
ENSG00000021355	True
ENSG00000021461	False
ENSG00000021488	False
ENSG00000021574	False
ENSG00000021645	True
ENSG00000021762	True
ENSG00000021776	False
ENSG00000021826	False
ENSG00000021852	True
ENSG00000022267	True
ENSG00000022277	False
ENSG00000022355	False
ENSG00000022556	True
ENSG00000022567	False
ENSG00000022840	False
ENSG00000022976	False
ENSG00000023041	False
ENSG00000023171	True
ENSG00000023191	False
ENSG00000023228	False
ENSG00000023287	False
ENSG00000023318	False
ENSG00000023330	False
ENSG00000023445	True
ENSG00000023516	False
ENSG00000023572	False
ENSG00000023608	True
ENSG00000023697	False
ENSG00000023734	False
ENSG00000023839	False
ENSG00000023892	True
ENSG00000023902	True
ENSG00000023909	True
ENSG00000024048	False
ENSG00000024422	True
ENSG00000024526	True
ENSG00000024862	False
ENSG00000025039	False
ENSG00000025156	False
ENSG00000025293	False
ENSG00000025434	True
ENSG00000025708	True
ENSG00000025770	False
ENSG00000025772	False
ENSG00000025796	False
ENSG00000025800	False
ENSG00000026025	True
ENSG00000026103	True
ENSG00000026297	True
ENSG00000026508	True
ENSG00000026652	False
ENSG00000026751	False
ENSG00000026950	True
ENSG00000027001	False
ENSG00000027075	True
ENSG00000027644	False
ENSG00000027697	False
ENSG00000027847	False
ENSG00000027869	False
ENSG00000028116	True
ENSG00000028137	False
ENSG00000028203	False
ENSG00000028277	False
ENSG00000028310	False
ENSG00000028528	False
ENSG00000028839	False
ENSG00000029153	True
ENSG00000029363	False
ENSG00000029364	False
ENSG00000029534	False
ENSG00000029559	False
ENSG00000029639	False
ENSG00000029725	False
ENSG00000029993	True
ENSG00000030066	False
ENSG00000030110	False
ENSG00000030304	False
ENSG00000030419	False
ENSG00000030582	False
ENSG00000031003	False
ENSG00000031081	False
ENSG00000031691	False
ENSG00000031698	False
ENSG00000031823	False
ENSG00000032219	False
ENSG00000032389	False
ENSG00000032444	False
ENSG00000032742	False
ENSG00000033011	False
ENSG00000033030	False
ENSG00000033050	False
ENSG00000033100	False
ENSG00000033122	False
ENSG00000033170	True
ENSG00000033178	False
ENSG00000033327	False
ENSG00000033627	False
ENSG00000033800	False
ENSG00000033867	True
ENSG00000034053	True
ENSG00000034152	False
ENSG00000034239	True
ENSG00000034510	True
ENSG00000034533	False
ENSG00000034677	False
ENSG00000034693	False
ENSG00000034713	False
ENSG00000034971	True
ENSG00000035115	True
ENSG00000035141	False
ENSG00000035403	True
ENSG00000035499	False
ENSG00000035664	False
ENSG00000035681	True
ENSG00000035687	False
ENSG00000035720	False
ENSG00000035862	True
ENSG00000035928	False
ENSG00000036054	False
ENSG00000036257	False
ENSG00000036448	False
ENSG00000036473	True
ENSG00000036530	False
ENSG00000036549	False
ENSG00000036565	True
ENSG00000036672	False
ENSG00000036828	False
ENSG00000037042	True
ENSG00000037241	False
ENSG00000037280	True
ENSG00000037474	False
ENSG00000037637	False
ENSG00000037749	False
ENSG00000037757	True
ENSG00000037897	False
ENSG00000037965	False
ENSG00000038002	True
ENSG00000038210	False
ENSG00000038219	False
ENSG00000038274	False
ENSG00000038295	False
ENSG00000038358	False
ENSG00000038382	True
ENSG00000038427	True
ENSG00000038532	False
ENSG00000038945	False
ENSG00000039068	True
ENSG00000039123	False
ENSG00000039139	False
ENSG00000039319	False
ENSG00000039523	False
ENSG00000039537	False
ENSG00000039560	True
ENSG00000039600	False
ENSG00000039650	False
ENSG00000039987	False
ENSG00000040199	False
ENSG00000040275	True
ENSG00000040341	False
ENSG00000040487	False
ENSG00000040531	False
ENSG00000040608	False
ENSG00000040633	False
ENSG00000040731	True
ENSG00000040933	False
ENSG00000041353	False
ENSG00000041357	False
ENSG00000041515	False
ENSG00000041802	False
ENSG00000041880	False
ENSG00000041982	True
ENSG00000041988	False
ENSG00000042062	False
ENSG00000042088	True
ENSG00000042286	True
ENSG00000042304	False
ENSG00000042317	False
ENSG00000042429	False
ENSG00000042445	False
ENSG00000042493	True
ENSG00000042753	False
ENSG00000042781	False
ENSG00000042813	False
ENSG00000042832	False
ENSG00000042980	False
ENSG00000043039	True
ENSG00000043093	False
ENSG00000043143	True
ENSG00000043355	False
ENSG00000043462	False
ENSG00000043514	False
ENSG00000043591	False
ENSG00000044012	True
ENSG00000044090	False
ENSG00000044115	False
ENSG00000044446	False
ENSG00000044459	True
ENSG00000044524	True
ENSG00000044574	False
ENSG00000046604	True
ENSG00000046647	False
ENSG00000046651	False
ENSG00000046653	False
ENSG00000046774	True
ENSG00000046889	True
ENSG00000047056	False
ENSG00000047188	False
ENSG00000047230	True
ENSG00000047249	False
ENSG00000047315	False
ENSG00000047346	False
ENSG00000047365	False
ENSG00000047410	False
ENSG00000047457	False
ENSG00000047578	False
ENSG00000047579	False
ENSG00000047597	False
ENSG00000047617	False
ENSG00000047621	False
ENSG00000047634	True
ENSG00000047644	True
ENSG00000047648	False
ENSG00000047662	False
ENSG00000047849	False
ENSG00000047932	False
ENSG00000047936	True
ENSG00000048028	False
ENSG00000048052	True
ENSG00000048140	False
ENSG00000048162	False
ENSG00000048342	True
ENSG00000048392	False
ENSG00000048405	False
ENSG00000048462	False
ENSG00000048540	False
ENSG00000048544	False
ENSG00000048545	False
ENSG00000048649	False
ENSG00000048707	False
ENSG00000048740	True
ENSG00000048828	True
ENSG00000048991	False
ENSG00000049089	False
ENSG00000049130	True
ENSG00000049167	False
ENSG00000049239	False
ENSG00000049245	True
ENSG00000049246	False
ENSG00000049247	True
ENSG00000049249	False
ENSG00000049283	True
ENSG00000049323	True
ENSG00000049449	True
ENSG00000049540	False
ENSG00000049541	False
ENSG00000049618	True
ENSG00000049656	False
ENSG00000049759	True
ENSG00000049768	False
ENSG00000049769	False
ENSG00000049860	True
ENSG00000049883	False
ENSG00000050030	True
ENSG00000050130	False
ENSG00000050165	True
ENSG00000050327	True
ENSG00000050344	True
ENSG00000050393	False
ENSG00000050405	True
ENSG00000050426	False
ENSG00000050438	False
ENSG00000050555	True
ENSG00000050628	False
ENSG00000050730	False
ENSG00000050748	False
ENSG00000050767	False
ENSG00000050820	False
ENSG00000051009	False
ENSG00000051108	False
ENSG00000051128	True
ENSG00000051180	False
ENSG00000051341	False
ENSG00000051382	False
ENSG00000051523	True
ENSG00000051596	False
ENSG00000051620	False
ENSG00000051825	False
ENSG00000052126	True
ENSG00000052344	True
ENSG00000052723	False
ENSG00000052749	False
ENSG00000052795	False
ENSG00000052802	True
ENSG00000052841	True
ENSG00000052850	False
ENSG00000053108	False
ENSG00000053254	True
ENSG00000053328	False
ENSG00000053371	False
ENSG00000053372	False
ENSG00000053438	False
ENSG00000053501	False
ENSG00000053524	False
ENSG00000053702	False
ENSG00000053747	True
ENSG00000053770	False
ENSG00000053900	False
ENSG00000053918	False
ENSG00000054116	False
ENSG00000054118	False
ENSG00000054148	False
ENSG00000054179	False
ENSG00000054219	True
ENSG00000054267	False
ENSG00000054277	True
ENSG00000054282	False
ENSG00000054356	False
ENSG00000054392	False
ENSG00000054523	False
ENSG00000054598	False
ENSG00000054611	False
ENSG00000054654	True
ENSG00000054690	True
ENSG00000054793	True
ENSG00000054796	False
ENSG00000054803	False
ENSG00000054938	False
ENSG00000054965	False
ENSG00000054967	False
ENSG00000054983	True
ENSG00000055044	False
ENSG00000055070	False
ENSG00000055118	False
ENSG00000055130	False
ENSG00000055147	False
ENSG00000055163	True
ENSG00000055208	False
ENSG00000055211	False
ENSG00000055332	False
ENSG00000055483	False
ENSG00000055609	False
ENSG00000055732	True
ENSG00000055813	False
ENSG00000055917	False
ENSG00000055950	False
ENSG00000055955	False
ENSG00000055957	True
ENSG00000056050	True
ENSG00000056097	False
ENSG00000056277	False
ENSG00000056291	True
ENSG00000056487	False
ENSG00000056558	False
ENSG00000056586	False
ENSG00000056736	False
ENSG00000056972	True
ENSG00000056998	True
ENSG00000057019	True
ENSG00000057149	True
ENSG00000057252	True
ENSG00000057294	True
ENSG00000057468	False
ENSG00000057593	True
ENSG00000057608	False
ENSG00000057657	False
ENSG00000057663	False
ENSG00000057704	False
ENSG00000057757	False
ENSG00000057935	False
ENSG00000058056	False
ENSG00000058063	True
ENSG00000058085	True
ENSG00000058091	True
ENSG00000058262	False
ENSG00000058272	False
ENSG00000058335	False
ENSG00000058404	False
ENSG00000058453	False
ENSG00000058600	False
ENSG00000058668	True
ENSG00000058673	False
ENSG00000058729	False
ENSG00000058799	False
ENSG00000058804	False
ENSG00000058866	True
ENSG00000059122	False
ENSG00000059145	False
ENSG00000059377	False
ENSG00000059378	True
ENSG00000059573	False
ENSG00000059588	False
ENSG00000059691	False
ENSG00000059728	False
ENSG00000059758	False
ENSG00000059769	False
ENSG00000059804	True
ENSG00000059915	False
ENSG00000060069	False
ENSG00000060138	True
ENSG00000060140	False
ENSG00000060237	False
ENSG00000060339	False
ENSG00000060491	False
ENSG00000060558	True
ENSG00000060566	False
ENSG00000060642	False
ENSG00000060656	True
ENSG00000060688	False
ENSG00000060709	False
ENSG00000060718	False
ENSG00000060749	False
ENSG00000060762	True
ENSG00000060971	False
ENSG00000060982	True
ENSG00000061273	False
ENSG00000061337	True
ENSG00000061492	True
ENSG00000061676	False
ENSG00000061794	False
ENSG00000061918	True
ENSG00000061936	False
ENSG00000061938	True
ENSG00000061987	False
ENSG00000062038	True
ENSG00000062096	True
ENSG00000062194	False
ENSG00000062282	True
ENSG00000062370	False
ENSG00000062485	False
ENSG00000062524	False
ENSG00000062582	False
ENSG00000062598	False
ENSG00000062650	False
ENSG00000062716	True
ENSG00000062725	False
ENSG00000062822	False
ENSG00000063015	False
ENSG00000063046	False
ENSG00000063127	False
ENSG00000063169	False
ENSG00000063176	False
ENSG00000063177	False
ENSG00000063180	True
ENSG00000063241	False
ENSG00000063244	False
ENSG00000063245	True
ENSG00000063322	False
ENSG00000063438	False
ENSG00000063515	False
ENSG00000063587	False
ENSG00000063601	False
ENSG00000063660	True
ENSG00000063761	False
ENSG00000063854	False
ENSG00000063978	False
ENSG00000064012	True
ENSG00000064042	True
ENSG00000064102	False
ENSG00000064115	False
ENSG00000064195	False
ENSG00000064199	True
ENSG00000064201	False
ENSG00000064205	True
ENSG00000064218	False
ENSG00000064225	False
ENSG00000064270	False
ENSG00000064300	False
ENSG00000064309	False
ENSG00000064313	False
ENSG00000064393	True
ENSG00000064419	False
ENSG00000064490	False
ENSG00000064545	False
ENSG00000064547	True
ENSG00000064601	True
ENSG00000064607	False
ENSG00000064651	True
ENSG00000064652	True
ENSG00000064655	True
ENSG00000064666	True
ENSG00000064687	True
ENSG00000064692	False
ENSG00000064703	False
ENSG00000064726	False
ENSG00000064763	False
ENSG00000064787	False
ENSG00000064835	False
ENSG00000064886	False
ENSG00000064932	False
ENSG00000064933	False
ENSG00000064961	False
ENSG00000064989	False
ENSG00000064995	False
ENSG00000064999	False
ENSG00000065000	False
ENSG00000065029	False
ENSG00000065054	True
ENSG00000065057	False
ENSG00000065060	False
ENSG00000065135	False
ENSG00000065150	False
ENSG00000065154	True
ENSG00000065183	False
ENSG00000065243	False
ENSG00000065268	False
ENSG00000065308	True
ENSG00000065320	False
ENSG00000065325	False
ENSG00000065328	True
ENSG00000065357	True
ENSG00000065361	True
ENSG00000065371	True
ENSG00000065413	False
ENSG00000065427	False
ENSG00000065457	False
ENSG00000065485	False
ENSG00000065491	False
ENSG00000065518	False
ENSG00000065526	False
ENSG00000065534	True
ENSG00000065548	False
ENSG00000065559	False
ENSG00000065600	False
ENSG00000065609	False
ENSG00000065613	False
ENSG00000065615	False
ENSG00000065618	True
ENSG00000065621	True
ENSG00000065665	False
ENSG00000065675	False
ENSG00000065717	True
ENSG00000065802	False
ENSG00000065809	True
ENSG00000065833	True
ENSG00000065882	True
ENSG00000065883	False
ENSG00000065911	True
ENSG00000065923	True
ENSG00000065970	False
ENSG00000065978	False
ENSG00000065989	False
ENSG00000066027	False
ENSG00000066032	False
ENSG00000066044	False
ENSG00000066056	False
ENSG00000066084	False
ENSG00000066117	False
ENSG00000066135	False
ENSG00000066136	False
ENSG00000066185	False
ENSG00000066230	False
ENSG00000066248	True
ENSG00000066279	False
ENSG00000066294	False
ENSG00000066322	False
ENSG00000066336	False
ENSG00000066379	False
ENSG00000066382	True
ENSG00000066405	False
ENSG00000066422	False
ENSG00000066427	False
ENSG00000066455	False
ENSG00000066468	True
ENSG00000066557	False
ENSG00000066583	True
ENSG00000066629	True
ENSG00000066651	False
ENSG00000066654	False
ENSG00000066697	True
ENSG00000066735	False
ENSG00000066739	False
ENSG00000066777	False
ENSG00000066813	True
ENSG00000066827	False
ENSG00000066855	False
ENSG00000066923	False
ENSG00000066926	True
ENSG00000066933	False
ENSG00000067048	True
ENSG00000067057	True
ENSG00000067064	False
ENSG00000067066	True
ENSG00000067082	True
ENSG00000067113	True
ENSG00000067141	True
ENSG00000067167	True
ENSG00000067177	True
ENSG00000067182	True
ENSG00000067191	False
ENSG00000067208	False
ENSG00000067221	False
ENSG00000067225	False
ENSG00000067248	False
ENSG00000067334	False
ENSG00000067365	False
ENSG00000067369	False
ENSG00000067445	True
ENSG00000067533	False
ENSG00000067560	False
ENSG00000067596	False
ENSG00000067606	True
ENSG00000067646	True
ENSG00000067704	False
ENSG00000067715	False
ENSG00000067798	True
ENSG00000067829	False
ENSG00000067836	False
ENSG00000067840	False
ENSG00000067842	False
ENSG00000067900	False
ENSG00000067955	False
ENSG00000067992	False
ENSG00000068001	True
ENSG00000068024	False
ENSG00000068028	True
ENSG00000068078	True
ENSG00000068079	True
ENSG00000068097	False
ENSG00000068120	False
ENSG00000068137	False
ENSG00000068305	False
ENSG00000068308	False
ENSG00000068323	False
ENSG00000068354	False
ENSG00000068366	True
ENSG00000068383	False
ENSG00000068394	False
ENSG00000068400	False
ENSG00000068438	False
ENSG00000068489	False
ENSG00000068615	False
ENSG00000068650	True
ENSG00000068654	False
ENSG00000068697	False
ENSG00000068724	False
ENSG00000068745	False
ENSG00000068784	False
ENSG00000068796	False
ENSG00000068831	False
ENSG00000068878	False
ENSG00000068885	False
ENSG00000068903	False
ENSG00000068912	False
ENSG00000068971	False
ENSG00000068976	False
ENSG00000068985	False
ENSG00000069011	True
ENSG00000069018	False
ENSG00000069020	False
ENSG00000069122	False
ENSG00000069188	False
ENSG00000069206	False
ENSG00000069248	False
ENSG00000069275	False
ENSG00000069329	False
ENSG00000069345	False
ENSG00000069399	True
ENSG00000069424	True
ENSG00000069431	True
ENSG00000069482	True
ENSG00000069493	False
ENSG00000069509	True
ENSG00000069535	True
ENSG00000069667	False
ENSG00000069696	False
ENSG00000069702	False
ENSG00000069764	False
ENSG00000069812	False
ENSG00000069849	False
ENSG00000069869	True
ENSG00000069943	False
ENSG00000069956	False
ENSG00000069966	True
ENSG00000069974	False
ENSG00000069998	False
ENSG00000070010	False
ENSG00000070018	False
ENSG00000070019	True
ENSG00000070031	False
ENSG00000070047	False
ENSG00000070061	False
ENSG00000070081	True
ENSG00000070087	True
ENSG00000070159	True
ENSG00000070182	False
ENSG00000070190	True
ENSG00000070193	True
ENSG00000070214	True
ENSG00000070269	False
ENSG00000070366	False
ENSG00000070367	False
ENSG00000070371	False
ENSG00000070388	False
ENSG00000070404	True
ENSG00000070413	False
ENSG00000070423	False
ENSG00000070444	False
ENSG00000070476	False
ENSG00000070495	False
ENSG00000070501	False
ENSG00000070526	True
ENSG00000070540	True
ENSG00000070601	False
ENSG00000070610	False
ENSG00000070614	True
ENSG00000070669	True
ENSG00000070718	False
ENSG00000070729	False
ENSG00000070731	True
ENSG00000070748	False
ENSG00000070756	False
ENSG00000070759	False
ENSG00000070761	False
ENSG00000070770	False
ENSG00000070778	False
ENSG00000070785	False
ENSG00000070808	False
ENSG00000070814	False
ENSG00000070831	False
ENSG00000070882	True
ENSG00000070886	False
ENSG00000070915	True
ENSG00000070950	False
ENSG00000070961	True
ENSG00000070985	True
ENSG00000071051	False
ENSG00000071054	True
ENSG00000071073	False
ENSG00000071082	False
ENSG00000071127	False
ENSG00000071189	False
ENSG00000071203	True
ENSG00000071205	True
ENSG00000071242	True
ENSG00000071243	False
ENSG00000071246	False
ENSG00000071282	True
ENSG00000071462	False
ENSG00000071537	False
ENSG00000071539	True
ENSG00000071553	False
ENSG00000071564	False
ENSG00000071575	True
ENSG00000071626	False
ENSG00000071655	False
ENSG00000071677	True
ENSG00000071794	True
ENSG00000071859	True
ENSG00000071889	False
ENSG00000071894	False
ENSG00000071909	False
ENSG00000071967	True
ENSG00000071991	True
ENSG00000071994	False
ENSG00000072041	True
ENSG00000072042	False
ENSG00000072062	False
ENSG00000072071	True
ENSG00000072080	False
ENSG00000072110	True
ENSG00000072121	False
ENSG00000072133	False
ENSG00000072134	False
ENSG00000072135	False
ENSG00000072163	False
ENSG00000072182	False
ENSG00000072195	True
ENSG00000072201	False
ENSG00000072210	True
ENSG00000072274	False
ENSG00000072310	True
ENSG00000072315	False
ENSG00000072364	False
ENSG00000072401	False
ENSG00000072415	False
ENSG00000072422	False
ENSG00000072501	True
ENSG00000072506	False
ENSG00000072518	False
ENSG00000072571	True
ENSG00000072609	True
ENSG00000072657	False
ENSG00000072682	True
ENSG00000072694	False
ENSG00000072736	False
ENSG00000072756	False
ENSG00000072778	False
ENSG00000072786	False
ENSG00000072803	False
ENSG00000072818	False
ENSG00000072832	True
ENSG00000072840	True
ENSG00000072849	False
ENSG00000072858	False
ENSG00000072864	False
ENSG00000072952	False
ENSG00000072954	False
ENSG00000072958	False
ENSG00000073008	True
ENSG00000073050	False
ENSG00000073060	True
ENSG00000073067	False
ENSG00000073111	True
ENSG00000073146	False
ENSG00000073150	False
ENSG00000073169	False
ENSG00000073282	True
ENSG00000073331	False
ENSG00000073350	True
ENSG00000073417	False
ENSG00000073464	False
ENSG00000073536	False
ENSG00000073578	False
ENSG00000073584	False
ENSG00000073598	False
ENSG00000073605	False
ENSG00000073614	False
ENSG00000073670	False
ENSG00000073711	False
ENSG00000073712	True
ENSG00000073734	False
ENSG00000073737	False
ENSG00000073754	False
ENSG00000073756	True
ENSG00000073792	True
ENSG00000073803	True
ENSG00000073849	True
ENSG00000073861	False
ENSG00000073910	False
ENSG00000073921	False
ENSG00000073969	False
ENSG00000074047	False
ENSG00000074054	False
ENSG00000074071	False
ENSG00000074181	True
ENSG00000074201	False
ENSG00000074211	True
ENSG00000074219	True
ENSG00000074266	False
ENSG00000074276	False
ENSG00000074317	False
ENSG00000074319	False
ENSG00000074356	False
ENSG00000074370	False
ENSG00000074410	True
ENSG00000074416	True
ENSG00000074527	True
ENSG00000074582	False
ENSG00000074590	True
ENSG00000074603	False
ENSG00000074621	False
ENSG00000074657	True
ENSG00000074660	False
ENSG00000074695	True
ENSG00000074696	False
ENSG00000074706	False
ENSG00000074755	False
ENSG00000074771	True
ENSG00000074800	False
ENSG00000074803	False
ENSG00000074842	False
ENSG00000074855	False
ENSG00000074935	False
ENSG00000074964	True
ENSG00000074966	False
ENSG00000075035	False
ENSG00000075043	False
ENSG00000075073	False
ENSG00000075089	False
ENSG00000075131	False
ENSG00000075142	True
